Абердинская битва	A1:0	A4:0	A7:0.5	A8:0	A9:0	A12:0	A13:0	A14:0	A16:0.5	A17:0	A20:0
Бои на Амуре (1900)	A1:0.5	A4:0	A7:0	A8:0	A9:0	A12:0	A13:0	A14:0	A16:1	A17:0.5	A20:0
Арденнская операция (1914)	A1:0	A4:0	A7:0.5	A8:0	A9:0	A12:0	A13:0	A14:0	A16:0.5	A17:0	A20:0
Битва за Агдам	A1:0.5	A4:0	A7:0.5	A8:1	A9:0.5	A12:0	A13:0.5	A14:0	A16:2	A17:0.5	A20:0
Сражение при Бабиасе	A1:0	A4:0.5	A7:0	A8:0.5	A9:0	A12:0	A13:0	A14:0.5	A16:2	A17:0.5	A20:0
Битва при Альте Весте	A1:1	A4:0.5	A7:0	A8:0	A9:0	A12:0	A13:0	A14:0.5	A16:1	A17:1	A20:0
Битва при Аллии	A1:0.5	A4:0	A7:0.5	A8:0.5	A9:0	A12:0	A13:0	A14:0.5	A16:2	A17:1	A20:0
Осада Венло	A1:0	A4:0	A7:0.5	A8:0	A9:0	A12:0	A13:0	A14:0.5	A16:2	A17:0	A20:0
Битва при Вероне	A1:0	A4:0	A7:0	A8:0	A9:0	A12:0	A13:0	A14:0.5	A16:2	A17:0	A20:0
Падение Гранады	A1:0.5	A4:0	A7:0	A8:0	A9:0	A12:0	A13:0	A14:0.5	A16:2	A17:0	A20:0A8::
